	0	1	2	3
0	Plane	1	airliner	0.794895
1	Plane	1	wing	0.203687
2	Plane	1	warplane, military plane	0.00136229
3	Plane	1	space shuttle	2.92309e-05
4	Plane	1	missile	1.91735e-05
5	Plane	1	projectile, missile	7.78262e-06
6	Plane	1	dumbbell	0.0
7	Plane	1	carbonara	0.0
8	Plane	1	stole	0.0
9	Plane	1	rubber eraser, rubber, pencil eraser	0.0
10	Plane	10	airliner	0.853171
11	Plane	10	wing	0.114073
12	Plane	10	warplane, military plane	0.0317416
13	Plane	10	space shuttle	0.000528623
14	Plane	10	missile	0.000261193
15	Plane	10	airship, dirigible	9.85996e-05
16	Plane	10	projectile, missile	9.04096e-05
17	Plane	10	aircraft carrier, carrier, flattop, attack aircraft carrier	3.52867e-05
18	Plane	10	dumbbell	0.0
19	Plane	10	carbonara	0.0
20	Plane	11	airliner	0.48174
21	Plane	11	wing	0.148844
22	Plane	11	albatross, mollymawk	0.0816696
23	Plane	11	projectile, missile	0.0463269
24	Plane	11	warplane, military plane	0.0420432
25	Plane	11	missile	0.0412677
26	Plane	11	hammerhead, hammerhead shark	0.0301876
27	Plane	11	trimaran	0.0167051
28	Plane	11	aircraft carrier, carrier, flattop, attack aircraft carrier	0.0121321
29	Plane	11	space shuttle	0.00905624
30	Plane	12	wing	0.318848
31	Plane	12	paddlewheel, paddle wheel	0.162182
32	Plane	12	airliner	0.113196
33	Plane	12	warplane, military plane	0.0888902
34	Plane	12	flagpole, flagstaff	0.0568033
35	Plane	12	ski	0.0545853
36	Plane	12	crane	0.0451299
37	Plane	12	missile	0.0383445
38	Plane	12	projectile, missile	0.0227898
39	Plane	12	pole	0.0184259
40	Plane	13	warplane, military plane	0.145282
41	Plane	13	recreational vehicle, RV, R.V.	0.140773
42	Plane	13	wing	0.140152
43	Plane	13	stretcher	0.0790349
44	Plane	13	tow truck, tow car, wrecker	0.0775182
45	Plane	13	airliner	0.0573646
46	Plane	13	sports car, sport car	0.0458184
47	Plane	13	minibus	0.0371879
48	Plane	13	amphibian, amphibious vehicle	0.036519
49	Plane	13	racer, race car, racing car	0.0339848
50	Plane	14	pier	0.352139
51	Plane	14	dam, dike, dyke	0.291537
52	Plane	14	steel arch bridge	0.145052
53	Plane	14	submarine, pigboat, sub, U-boat	0.0415433
54	Plane	14	suspension bridge	0.0369933
55	Plane	14	paddlewheel, paddle wheel	0.0218083
56	Plane	14	wreck	0.0147992
57	Plane	14	bannister, banister, balustrade, balusters, handrail	0.0112704
58	Plane	14	plate rack	0.00739874
59	Plane	14	fireboat	0.00726748
60	Plane	15	speedboat	0.926128
61	Plane	15	trimaran	0.0422433
62	Plane	15	catamaran	0.0159208
63	Plane	15	canoe	0.00249835
64	Plane	15	paddle, boat paddle	0.00241146
65	Plane	15	amphibian, amphibious vehicle	0.00158919
66	Plane	15	airliner	0.00126975
67	Plane	15	sandbar, sand bar	0.00121786
68	Plane	15	yawl	0.00094207
69	Plane	15	warplane, military plane	0.000763657
70	Plane	16	projectile, missile	0.20134
71	Plane	16	space shuttle	0.187483
72	Plane	16	missile	0.163286
73	Plane	16	wing	0.140229
